
===== Training bert-base-uncased seed 0 on CoNLL-2012 SRL =====
{'loss': 1.315, 'grad_norm': 3.9801602363586426, 'learning_rate': 1.9832198402690208e-05, 'epoch': 0.04}
{'loss': 0.6426, 'grad_norm': 3.746649742126465, 'learning_rate': 1.96640605296343e-05, 'epoch': 0.08}
{'loss': 0.469, 'grad_norm': 13.420022964477539, 'learning_rate': 1.9495922656578396e-05, 'epoch': 0.13}
{'loss': 0.4176, 'grad_norm': 3.4146580696105957, 'learning_rate': 1.932778478352249e-05, 'epoch': 0.17}
{'loss': 0.3799, 'grad_norm': 3.3733654022216797, 'learning_rate': 1.9159646910466585e-05, 'epoch': 0.21}
{'loss': 0.3686, 'grad_norm': 7.648777008056641, 'learning_rate': 1.8991509037410678e-05, 'epoch': 0.25}
{'loss': 0.3454, 'grad_norm': 2.643378257751465, 'learning_rate': 1.8823371164354774e-05, 'epoch': 0.29}
{'loss': 0.3227, 'grad_norm': 5.097479343414307, 'learning_rate': 1.8655233291298867e-05, 'epoch': 0.34}
{'loss': 0.3118, 'grad_norm': 3.8151514530181885, 'learning_rate': 1.8487095418242963e-05, 'epoch': 0.38}
{'loss': 0.2905, 'grad_norm': 8.623967170715332, 'learning_rate': 1.8318957545187055e-05, 'epoch': 0.42}
{'loss': 0.299, 'grad_norm': 2.284700393676758, 'learning_rate': 1.8150819672131148e-05, 'epoch': 0.46}
{'loss': 0.2857, 'grad_norm': 6.682540416717529, 'learning_rate': 1.7982681799075244e-05, 'epoch': 0.5}
{'loss': 0.2854, 'grad_norm': 6.252964496612549, 'learning_rate': 1.7814543926019337e-05, 'epoch': 0.55}
{'loss': 0.2738, 'grad_norm': 4.403193473815918, 'learning_rate': 1.7646406052963433e-05, 'epoch': 0.59}
{'loss': 0.2791, 'grad_norm': 5.285467147827148, 'learning_rate': 1.7478268179907525e-05, 'epoch': 0.63}
{'loss': 0.2618, 'grad_norm': 1.2197962999343872, 'learning_rate': 1.731013030685162e-05, 'epoch': 0.67}
{'loss': 0.277, 'grad_norm': 2.817201852798462, 'learning_rate': 1.7141992433795714e-05, 'epoch': 0.71}
{'loss': 0.2551, 'grad_norm': 13.221647262573242, 'learning_rate': 1.697385456073981e-05, 'epoch': 0.76}
{'loss': 0.2672, 'grad_norm': 1.1971533298492432, 'learning_rate': 1.6805716687683903e-05, 'epoch': 0.8}
{'loss': 0.2533, 'grad_norm': 3.77248477935791, 'learning_rate': 1.6637578814627995e-05, 'epoch': 0.84}
{'loss': 0.2558, 'grad_norm': 10.148765563964844, 'learning_rate': 1.646944094157209e-05, 'epoch': 0.88}
{'loss': 0.2437, 'grad_norm': 3.2029287815093994, 'learning_rate': 1.6301303068516184e-05, 'epoch': 0.92}
{'loss': 0.2528, 'grad_norm': 3.4262609481811523, 'learning_rate': 1.613316519546028e-05, 'epoch': 0.97}
