
===== Training xlm-roberta-base seed 0 on CoNLL-2012 SRL =====
{'loss': 1.3279, 'grad_norm': 5.689585208892822, 'learning_rate': 1.9832198402690208e-05, 'epoch': 0.04}
{'loss': 0.6269, 'grad_norm': 2.7886645793914795, 'learning_rate': 1.96640605296343e-05, 'epoch': 0.08}
{'loss': 0.4691, 'grad_norm': 8.475954055786133, 'learning_rate': 1.9495922656578396e-05, 'epoch': 0.13}
{'loss': 0.4248, 'grad_norm': 11.590718269348145, 'learning_rate': 1.932778478352249e-05, 'epoch': 0.17}
{'loss': 0.3842, 'grad_norm': 15.964937210083008, 'learning_rate': 1.9159646910466585e-05, 'epoch': 0.21}
{'loss': 0.37, 'grad_norm': 7.77837610244751, 'learning_rate': 1.8991509037410678e-05, 'epoch': 0.25}
{'loss': 0.3475, 'grad_norm': 7.878677845001221, 'learning_rate': 1.8823371164354774e-05, 'epoch': 0.29}
{'loss': 0.3334, 'grad_norm': 7.344883918762207, 'learning_rate': 1.8655233291298867e-05, 'epoch': 0.34}
{'loss': 0.3204, 'grad_norm': 3.1492867469787598, 'learning_rate': 1.8487095418242963e-05, 'epoch': 0.38}
{'loss': 0.2963, 'grad_norm': 12.16783618927002, 'learning_rate': 1.8318957545187055e-05, 'epoch': 0.42}
{'loss': 0.3105, 'grad_norm': 2.5744667053222656, 'learning_rate': 1.8150819672131148e-05, 'epoch': 0.46}
{'loss': 0.293, 'grad_norm': 7.631411075592041, 'learning_rate': 1.7982681799075244e-05, 'epoch': 0.5}
{'loss': 0.2879, 'grad_norm': 4.962629318237305, 'learning_rate': 1.7814543926019337e-05, 'epoch': 0.55}
{'loss': 0.2815, 'grad_norm': 12.027719497680664, 'learning_rate': 1.7646406052963433e-05, 'epoch': 0.59}
{'loss': 0.2906, 'grad_norm': 11.518829345703125, 'learning_rate': 1.7478268179907525e-05, 'epoch': 0.63}
{'loss': 0.2668, 'grad_norm': 1.5311877727508545, 'learning_rate': 1.731013030685162e-05, 'epoch': 0.67}
{'loss': 0.2823, 'grad_norm': 5.652103900909424, 'learning_rate': 1.7141992433795714e-05, 'epoch': 0.71}
{'loss': 0.2598, 'grad_norm': 17.057559967041016, 'learning_rate': 1.697385456073981e-05, 'epoch': 0.76}
{'loss': 0.2709, 'grad_norm': 3.004835367202759, 'learning_rate': 1.6805716687683903e-05, 'epoch': 0.8}
{'loss': 0.2603, 'grad_norm': 7.191821098327637, 'learning_rate': 1.6637578814627995e-05, 'epoch': 0.84}
{'loss': 0.2663, 'grad_norm': 7.35329532623291, 'learning_rate': 1.646944094157209e-05, 'epoch': 0.88}
{'loss': 0.2552, 'grad_norm': 4.710494041442871, 'learning_rate': 1.6301303068516184e-05, 'epoch': 0.92}
{'loss': 0.2593, 'grad_norm': 7.567577362060547, 'learning_rate': 1.613316519546028e-05, 'epoch': 0.97}
{'eval_loss': 0.25387510657310486, 'eval_runtime': 44.5926, 'eval_samples_per_second': 539.597, 'eval_steps_per_second': 33.728, 'epoch': 1.0}
{'loss': 0.2362, 'grad_norm': 6.6154561042785645, 'learning_rate': 1.5965027322404373e-05, 'epoch': 1.01}
{'loss': 0.2071, 'grad_norm': 5.988759517669678, 'learning_rate': 1.5796889449348466e-05, 'epoch': 1.05}
{'loss': 0.2163, 'grad_norm': 8.963722229003906, 'learning_rate': 1.562875157629256e-05, 'epoch': 1.09}
{'loss': 0.2006, 'grad_norm': 23.302425384521484, 'learning_rate': 1.5460613703236654e-05, 'epoch': 1.13}
{'loss': 0.2098, 'grad_norm': 6.311416149139404, 'learning_rate': 1.5292475830180747e-05, 'epoch': 1.18}
{'loss': 0.2103, 'grad_norm': 7.889028549194336, 'learning_rate': 1.5124337957124843e-05, 'epoch': 1.22}
{'loss': 0.2035, 'grad_norm': 1.1938282251358032, 'learning_rate': 1.4956200084068937e-05, 'epoch': 1.26}
{'loss': 0.2075, 'grad_norm': 19.851760864257812, 'learning_rate': 1.4788062211013032e-05, 'epoch': 1.3}
{'loss': 0.2112, 'grad_norm': 7.226352214813232, 'learning_rate': 1.4619924337957126e-05, 'epoch': 1.35}
{'loss': 0.1976, 'grad_norm': 2.8125622272491455, 'learning_rate': 1.445178646490122e-05, 'epoch': 1.39}
{'loss': 0.2054, 'grad_norm': 10.2695951461792, 'learning_rate': 1.4283648591845313e-05, 'epoch': 1.43}
{'loss': 0.2106, 'grad_norm': 7.556624889373779, 'learning_rate': 1.411551071878941e-05, 'epoch': 1.47}
{'loss': 0.2092, 'grad_norm': 4.696302890777588, 'learning_rate': 1.3947372845733502e-05, 'epoch': 1.51}
{'loss': 0.2029, 'grad_norm': 28.12175178527832, 'learning_rate': 1.3779234972677598e-05, 'epoch': 1.56}
{'loss': 0.2005, 'grad_norm': 6.288309097290039, 'learning_rate': 1.361109709962169e-05, 'epoch': 1.6}
{'loss': 0.2037, 'grad_norm': 3.4271726608276367, 'learning_rate': 1.3442959226565787e-05, 'epoch': 1.64}
{'loss': 0.1918, 'grad_norm': 3.5789480209350586, 'learning_rate': 1.327482135350988e-05, 'epoch': 1.68}
{'loss': 0.1975, 'grad_norm': 5.11576509475708, 'learning_rate': 1.3106683480453974e-05, 'epoch': 1.72}
{'loss': 0.1974, 'grad_norm': 3.8176779747009277, 'learning_rate': 1.2938545607398068e-05, 'epoch': 1.77}
{'loss': 0.1966, 'grad_norm': 3.9304728507995605, 'learning_rate': 1.277040773434216e-05, 'epoch': 1.81}
{'loss': 0.1904, 'grad_norm': 6.583614826202393, 'learning_rate': 1.2602269861286257e-05, 'epoch': 1.85}
{'loss': 0.1979, 'grad_norm': 6.042007923126221, 'learning_rate': 1.243413198823035e-05, 'epoch': 1.89}
{'loss': 0.1996, 'grad_norm': 1.6338486671447754, 'learning_rate': 1.2265994115174444e-05, 'epoch': 1.93}
