
===== Training xlm-roberta-base seed 0 on CoNLL-2012 SRL =====
{'loss': 1.3264, 'grad_norm': 5.390262603759766, 'learning_rate': 1.9832198402690208e-05, 'epoch': 0.04}
{'loss': 0.6304, 'grad_norm': 2.6196367740631104, 'learning_rate': 1.96640605296343e-05, 'epoch': 0.08}
{'loss': 0.4724, 'grad_norm': 8.652115821838379, 'learning_rate': 1.9495922656578396e-05, 'epoch': 0.13}
{'loss': 0.4252, 'grad_norm': 6.801222324371338, 'learning_rate': 1.932778478352249e-05, 'epoch': 0.17}
{'loss': 0.3829, 'grad_norm': 11.331770896911621, 'learning_rate': 1.9159646910466585e-05, 'epoch': 0.21}
{'loss': 0.3687, 'grad_norm': 12.850257873535156, 'learning_rate': 1.8991509037410678e-05, 'epoch': 0.25}
{'loss': 0.3507, 'grad_norm': 6.593677520751953, 'learning_rate': 1.8823371164354774e-05, 'epoch': 0.29}
{'loss': 0.3378, 'grad_norm': 7.246281623840332, 'learning_rate': 1.8655233291298867e-05, 'epoch': 0.34}
{'loss': 0.3145, 'grad_norm': 3.635432720184326, 'learning_rate': 1.8487095418242963e-05, 'epoch': 0.38}
{'loss': 0.2998, 'grad_norm': 7.7196946144104, 'learning_rate': 1.8318957545187055e-05, 'epoch': 0.42}
{'loss': 0.3088, 'grad_norm': 4.031591415405273, 'learning_rate': 1.8150819672131148e-05, 'epoch': 0.46}
{'loss': 0.2975, 'grad_norm': 13.557937622070312, 'learning_rate': 1.7982681799075244e-05, 'epoch': 0.5}
{'loss': 0.2911, 'grad_norm': 8.245020866394043, 'learning_rate': 1.7814543926019337e-05, 'epoch': 0.55}
{'loss': 0.2865, 'grad_norm': 5.44514799118042, 'learning_rate': 1.7646406052963433e-05, 'epoch': 0.59}
{'loss': 0.2872, 'grad_norm': 7.694225788116455, 'learning_rate': 1.7478268179907525e-05, 'epoch': 0.63}
